0,103,589,428
1,103,588.675,427.745
21,101,598.401,19.545
40,102,524.601,5.96
42,102,526.473,5.60004
43,103,575.024,417.035
45,102,525.279,3.77197
51,102,521.246,3.05676
51,104,23.12,455.445
70,85,576.259,431.677
72,101,620.906,39.3851
89,105,514.25,126.135
90,102,500.389,9.51043
111,104,10.3664,467.77
117,102,498.199,36.9625
146,105,537.319,186.677
148,104,31.7187,468.616
154,104,32.8406,470.109
178,102,455.579,78.5905
185,7,449.163,83.7069
188,104,32.3073,479.812
189,101,547.817,79.6009
194,21,553.361,81.5946
203,102,455.259,85.5982
210,104,33.9737,481.044
224,102,450.014,85.7598
227,105,501.67,150.58
251,102,444.925,87.9492
258,105,499.328,140.979
280,103,655.304,244.368
296,104,21.0915,473.223
311,29,648.335,246.783
312,104,28.9577,469.447
334,104,20.6225,465.442
366,105,496.958,164.235
370,103,643.553,237.854
382,105,501.031,160.678
387,101,616.889,51.233
395,55,614.992,48.8455
402,105,499.559,149.952
408,104,3.35921,475.79
429,105,486.507,145.515
487,103,691.745,215.92
490,78,652.948,30.1733
495,102,405.444,144.882
508,102,406.286,135.968
530,103,691.341,199.967
536,103,686.707,196.894
542,102,419.006,111.58
554,105,400.28,145.431
566,103,692.101,190.057
570,102,422.665,91.1602
580,101,643.175,19.9539
580,103,692.887,203.398
592,104,47.412,415.235
612,102,421.674,65.8514
617,101,658.907,44.6308
626,101,662.409,41.1113
634,102,422.995,71.9046
682,101,647.992,17.2947
690,103,663.326,307.463
711,102,429.562,22.5548
720,104,61.3817,328.88
721,105,408.21,132.257
724,105,408.548,131.537
732,105,408.832,129.073
739,103,640.623,332.007
740,98,49.0576,318.081
751,101,644.985,37.5092
753,89,413.001,133.634
757,103,639.616,318.409
757,105,414.848,128.967
758,105,415.688,128.895
776,101,642.385,40.3143
781,102,428.909,35.0903
788,101,643.002,44.2998
788,103,646.144,294.248
796,102,435.507,33.5344
820,102,432.197,20.9643
820,104,17.849,250.316
824,103,653.724,266.19
848,105,458.175,94.0563
859,103,630.138,243.145
865,105,463.163,90.8499
882,103,618.573,222.708
887,103,615.117,220.025
895,102,373.633,42.7293
908,105,480.734,95.7934
910,23,482.11,92.088
912,105,481.284,96.5087
918,104,53.7799,212.914
928,102,342.794,30.2939
929,103,603.417,191.339
944,61,487.922,114.194
978,104,40.6009,157.434
979,102,325.207,5.13978
980,105,473.44,129.032
987,104,37.2503,150.125
998,103,551.448,213.98
1001,102,317.842,13.0944
1015,105,483.311,142.393
1043,103,546.383,200.698
1053,105,437.747,157.729
1082,102,293.34,69.5457
1093,104,31.3187,140.32
1094,102,286.825,78.416
1101,101,613.696,128.41
1104,102,275.669,81.3361
1109,101,611.97,125.132
1110,79,41.6781,155.274
1111,101,611.932,124.92
1113,101,612.205,125.256
1114,102,270.273,78.7909
1123,101,609.442,130.999
1128,105,412.522,112.477
1143,104,67.1863,167.004
1148,103,540.718,186.992
1154,105,413.991,125.184
1167,104,73.8918,186.051
1190,102,219.498,80.6818
1193,27,69.4645,204.565
1195,104,68.4642,202.459
1201,32,68.0197,208.993
1215,81,63.5215,203.439
1231,105,359.646,139.355
1262,103,560.834,220.164
1272,101,637.834,175.474
1282,102,290.964,162.662
1283,101,633.456,169.676
1286,104,111.63,243.87
1291,105,331.614,129.489
1347,103,580.865,223.318
1348,102,312.03,146.577
1348,102,312.845,146.577
1350,103,581.263,222.476
1353,104,115.775,326.026
1360,104,118.466,323.554
1361,102,314.37,151.208
1393,86,134.678,331.478
1401,102,329.859,155.853
1435,102,336.308,142.489
1435,105,296.307,111.58
1448,105,288.678,111.659
1479,101,656.963,261.01
1480,105,261.677,112.85
1521,103,583.121,237.729
1522,102,349.599,142.95
1540,101,687.865,316.423
1541,105,293.225,86.4363
1553,103,586.723,238.193
1603,105,290.677,128.015
1613,105,290.359,134.718
1617,101,685.543,381.425
1620,102,396.562,158.288
1628,104,128.618,415.532
1629,103,636.078,219.702
1635,104,129.885,418.643
1642,104,131.669,417.012
1647,104,134.063,412.608
1652,104,133.653,414.156
1664,73,297.042,143.462
1664,103,653.832,241.551
1670,105,300.46,136.886
1673,105,300.665,138.897
1679,73,299.449,144.79
1693,40,658.349,219.53
1694,105,303.713,149.107
1699,36,430.016,137.88
1726,68,677.167,424.973
1738,102,452.77,146.177
1773,36,424.939,109.207
1781,101,684.734,467.388
1782,101,685.072,466.65
1783,101,684.466,466.327
